Order ID,22,Exported Date,31/05/2023 1:06:28 pm,

Order Line ID,Parent Voucher Type,Voucher Type,Serial Number,Random Serial,Random Digits,Barcode,Booklet Identifier,PIN
45,98020,98020,1533,1877015,3866,9802018770153866,980200001533,NULL
45,98020,98020,1534,6679139,9323,9802066791399323,980200001534,NULL
45,98020,98020,1535,1411811,3191,9802014118113191,980200001535,NULL
45,98020,98020,1536,8964872,3586,9802089648723586,980200001536,NULL
45,98020,98020,1537,1416613,3836,9802014166133836,980200001537,NULL
45,98020,98020,1538,5620354,9813,9802056203549813,980200001538,NULL
45,98020,98020,1539,6532158,6938,9802065321586938,980200001539,NULL
45,98020,98020,1540,3908090,4863,9802039080904863,980200001540,NULL
45,98020,98020,1541,2655745,3227,9802026557453227,980200001541,NULL
45,98020,98020,1542,7051603,7275,9802070516037275,980200001542,NULL
45,98020,98020,1543,4257631,9430,9802042576319430,980200001543,NULL
45,98020,98020,1544,5881450,6281,9802058814506281,980200001544,NULL
45,98020,98020,1545,0527095,0412,9802005270950412,980200001545,NULL
45,98020,98020,1546,4317788,5506,9802043177885506,980200001546,NULL
45,98020,98020,1547,6519780,1767,9802065197801767,980200001547,NULL
45,98020,98020,1548,6876405,5841,9802068764055841,980200001548,NULL
45,98020,98020,1549,3969894,9441,9802039698949441,980200001549,NULL
45,98020,98020,1550,0760066,1016,9802007600661016,980200001550,NULL
45,98020,98020,1551,8095472,9994,9802080954729994,980200001551,NULL
45,98020,98020,1552,8479456,0510,9802084794560510,980200001552,NULL
45,98020,98020,1553,5025063,0584,9802050250630584,980200001553,NULL
45,98020,98020,1554,7663515,2408,9802076635152408,980200001554,NULL
45,98020,98020,1555,2617179,4659,9802026171794659,980200001555,NULL
45,98020,98020,1556,2262563,5945,9802022625635945,980200001556,NULL
45,98020,98020,1557,7961231,0130,9802079612310130,980200001557,NULL
45,98020,98020,1558,1093114,3217,9802010931143217,980200001558,NULL
45,98020,98020,1559,0285701,9737,9802002857019737,980200001559,NULL
45,98020,98020,1560,4694074,7887,9802046940747887,980200001560,NULL
45,98020,98020,1561,1706846,3748,9802017068463748,980200001561,NULL
45,98020,98020,1562,8439782,1723,9802084397821723,980200001562,NULL
45,98020,98020,1563,3389251,8086,9802033892518086,980200001563,NULL
45,98020,98020,1564,3055046,9404,9802030550469404,980200001564,NULL
45,98020,98020,1565,7671871,1922,9802076718711922,980200001565,NULL
45,98020,98020,1566,8586348,6115,9802085863486115,980200001566,NULL
45,98020,98020,1567,9629952,8354,9802096299528354,980200001567,NULL
45,98020,98020,1568,3689961,0095,9802036899610095,980200001568,NULL
45,98020,98020,1569,6018730,8568,9802060187308568,980200001569,NULL
45,98020,98020,1570,0492026,7087,9802004920267087,980200001570,NULL
45,98020,98020,1571,3758303,7264,9802037583037264,980200001571,NULL
45,98020,98020,1572,0246940,0861,9802002469400861,980200001572,NULL
45,98020,98020,1573,6270065,6291,9802062700656291,980200001573,NULL
45,98020,98020,1574,4931591,2680,9802049315912680,980200001574,NULL
45,98020,98020,1575,3545855,6061,9802035458556061,980200001575,NULL
